iter	RMSE
0	802.6424938
1	783.0888883
2	770.3344483
3	755.5872101
4	740.897236
5	727.9125766
6	712.9932627
7	700.3571836
8	688.2153001
9	677.3181867
10	669.3512378
11	659.0451985
12	650.2133763
13	640.6551919
14	632.6009218
15	622.4639624
16	612.523772
17	602.4752308
18	595.4801873
19	587.9707598
20	581.4418346
21	573.4671305
22	567.5762992
23	562.0884818
24	556.3101017
25	552.6676707
26	548.8805397
27	543.652576
28	540.7398243
29	537.6240614
30	532.3064084
31	526.8806642
32	522.059057
33	519.0023846
34	514.2974739
35	509.9788199
36	508.4607542
37	503.7438005
38	499.7809159
39	496.0807009
40	492.8916743
41	491.2153237
42	488.4154077
43	485.3388651
44	482.8230652
45	479.9761674
46	477.2075577
47	475.4611906
48	473.7534027
49	472.8337386
50	471.4539433
51	469.1507321
52	465.5044359
53	463.2398393
54	460.6987261
55	459.56453
56	458.7205854
57	457.0693087
58	455.6179042
59	453.8852276
60	450.841158
61	449.117262
62	446.1052089
63	444.5806457
64	443.2660076
65	442.3247334
66	440.8036753
67	438.7412241
68	437.8345619
69	436.9636672
70	435.7170684
71	434.8181217
72	433.6894471
73	432.7523727
74	432.5081973
75	431.9549478
76	431.2855641
77	430.6573667
78	429.9347744
79	429.5056684
80	428.7665137
81	427.9123966
82	426.5346131
83	425.4532743
84	424.7744916
85	423.1081234
86	422.082725
87	421.5248033
88	420.8293309
89	420.0770312
90	419.6774177
91	418.8729778
92	417.8969545
93	416.8007638
94	414.9387929
95	414.4053157
96	413.5942181
97	412.3851335
98	411.5774694
99	410.9890807
100	410.2463325
101	409.5155287
102	408.9770793
103	408.4716673
104	407.5061217
105	406.9417125
106	406.0025282
107	404.5705461
108	404.1687886
109	403.4203392
110	402.7865846
111	401.8915652
112	401.4609542
113	401.1882859
114	400.6257178
115	400.3431276
116	400.2249283
117	400.0451779
118	399.0757841
119	398.5606009
120	398.0079413
121	397.5446776
122	396.9996201
123	396.366415
124	395.1304363
125	394.9132147
126	394.0808592
127	393.2223062
128	392.2722337
129	391.3169148
130	390.8654283
131	389.739969
132	389.1580277
133	388.1010125
134	387.4714994
135	386.6001997
136	386.092283
137	385.3194637
138	384.8111084
139	384.0577017
140	383.5785316
141	382.872645
142	382.2279721
143	381.8703766
144	380.9559626
145	380.5882794
146	379.7595469
147	379.405392
148	378.7909104
149	377.7552131
150	376.9822465
151	376.4676933
152	375.7308022
153	375.4863333
154	374.9803453
155	374.3622161
156	373.645401
157	373.0190108
158	372.4225244
159	371.6960961
160	370.9791597
161	370.0407211
162	369.0259343
163	368.6081866
164	367.9035442
165	367.4779947
166	366.5320103
167	366.2114362
168	365.6119399
169	365.1354369
170	364.2671305
171	363.8404322
172	363.2062927
173	362.3791541
174	361.4930797
175	360.6994385
176	360.3070005
177	359.6489257
178	359.2164532
179	358.6406963
180	358.0792871
181	357.5759542
182	356.8502533
183	356.1118909
184	355.553135
185	354.9374098
186	354.2211877
187	353.9892632
188	353.6768888
189	353.1028767
190	352.4351625
191	351.5967628
192	351.2829044
193	350.1734687
194	349.5843589
195	349.2781847
196	348.6930184
197	348.1040492
198	347.5421853
199	346.9576437
200	346.3698765
201	346.129032
202	345.1196324
203	344.657826
204	344.2065001
205	343.7484714
206	343.0284053
207	342.7098107
208	342.3631389
209	341.9046432
210	341.6019101
211	341.026096
212	340.541164
213	340.0645515
214	339.7637882
215	339.4245695
216	339.1072796
217	338.7271572
218	338.2584461
219	337.9635383
220	337.6257768
221	337.4265971
222	336.985764
223	336.7317935
224	336.4491712
225	336.1276008
226	335.9340837
227	335.3193057
228	334.6900918
229	334.4525069
230	334.1916514
231	333.9092929
232	333.7482016
233	332.9577516
234	332.6397906
235	332.410407
236	332.0897605
237	331.7255454
238	331.4610927
239	331.2822962
240	330.7608532
241	330.4632939
242	330.1966965
243	329.8103082
244	329.1885467
245	328.7113192
246	328.4955068
247	328.0825181
248	327.8201934
249	327.3344942
250	327.0522081
251	326.7073586
252	326.5176676
253	326.288931
254	326.0040806
255	325.8139244
256	325.04231
257	324.7281911
258	324.3406514
259	324.2050462
260	323.9994095
261	323.5395517
262	323.3041938
263	323.0841225
264	322.9269367
265	322.7888898
266	322.5373885
267	322.3301889
268	322.110149
269	321.8637229
270	321.6385181
271	321.296742
272	320.8149226
273	320.0452389
274	319.7890129
275	319.531668
276	319.2927983
277	318.948608
278	318.5266086
279	318.1861122
280	318.0784702
281	317.6303857
282	317.3584303
283	316.8742204
284	316.523116
285	316.0849713
286	315.7438124
287	315.3299001
288	315.0800884
289	314.8708353
290	314.3988718
291	314.1453426
292	313.8216253
293	313.6564518
294	313.4533814
295	313.1297948
296	312.7618165
297	312.46524
298	312.1723068
299	311.6984221
