iter	Passed	Remaining
0	32	9627
1	65	9813
2	96	9599
3	125	9265
4	155	9180
5	183	8975
6	209	8758
7	235	8580
8	260	8417
9	285	8281
10	300	7905
11	326	7830
12	353	7814
13	381	7796
14	412	7842
15	445	7905
16	470	7836
17	494	7750
18	525	7768
19	555	7776
20	584	7762
21	612	7741
22	640	7715
23	667	7672
24	698	7681
25	729	7682
26	759	7676
27	795	7727
28	818	7644
29	844	7604
30	877	7610
31	906	7594
32	943	7633
33	1000	7826
34	1036	7849
35	1068	7837
36	1086	7719
37	1127	7772
38	1161	7775
39	1195	7769
40	1229	7768
41	1262	7756
42	1295	7743
43	1325	7712
44	1354	7674
45	1381	7626
46	1408	7583
47	1438	7552
48	1471	7535
49	1502	7510
50	1534	7491
51	1562	7449
52	1591	7416
53	1619	7377
54	1644	7327
55	1664	7251
56	1688	7199
57	1716	7162
58	1743	7123
59	1773	7093
60	1802	7060
61	1827	7013
62	1854	6975
63	1883	6944
64	1909	6902
65	1936	6866
66	1963	6827
67	1998	6819
68	2035	6814
69	2072	6808
70	2102	6780
71	2130	6746
72	2159	6715
73	2188	6684
74	2212	6637
75	2242	6609
76	2282	6610
77	2319	6601
78	2357	6596
79	2410	6629
80	2449	6622
81	2477	6586
82	2506	6552
83	2541	6535
84	2577	6519
85	2615	6508
86	2648	6484
87	2687	6473
88	2722	6455
89	2753	6425
90	2781	6387
91	2807	6347
92	2834	6309
93	2861	6271
94	2888	6233
95	2915	6196
96	2943	6160
97	2970	6123
98	2996	6083
99	3022	6044
100	3047	6003
101	3073	5966
102	3104	5936
103	3133	5906
104	3168	5884
105	3201	5860
106	3234	5834
107	3266	5807
108	3298	5780
109	3332	5755
110	3363	5726
111	3397	5703
112	3429	5675
113	3461	5648
114	3494	5620
115	3527	5594
116	3549	5551
117	3580	5522
118	3614	5498
119	3653	5480
120	3689	5457
121	3719	5426
122	3755	5403
123	3788	5376
124	3818	5345
125	3865	5337
126	3903	5317
127	3939	5293
128	3974	5267
129	4004	5237
130	4038	5209
131	4072	5183
132	4100	5148
133	4128	5114
134	4158	5082
135	4187	5049
136	4217	5017
137	4244	4983
138	4273	4950
139	4300	4914
140	4327	4879
141	4353	4843
142	4381	4810
143	4408	4775
144	4435	4740
145	4463	4708
146	4492	4675
147	4523	4645
148	4553	4614
149	4584	4584
150	4616	4555
151	4653	4530
152	4687	4503
153	4716	4471
154	4747	4440
155	4782	4414
156	4814	4385
157	4849	4358
158	4885	4332
159	4917	4302
160	4946	4270
161	4974	4237
162	5006	4207
163	5033	4173
164	5059	4139
165	5088	4107
166	5115	4074
167	5144	4041
168	5171	4008
169	5195	3973
170	5219	3937
171	5245	3903
172	5272	3870
173	5299	3837
174	5324	3803
175	5350	3769
176	5376	3736
177	5402	3702
178	5427	3669
179	5455	3636
180	5480	3603
181	5507	3570
182	5535	3539
183	5562	3507
184	5590	3475
185	5617	3443
186	5647	3412
187	5673	3380
188	5700	3347
189	5726	3315
190	5751	3282
191	5777	3250
192	5804	3217
193	5829	3185
194	5854	3152
195	5880	3120
196	5906	3087
197	5933	3056
198	5964	3027
199	5990	2995
200	6016	2963
201	6042	2931
202	6068	2899
203	6093	2867
204	6120	2836
205	6148	2805
206	6174	2773
207	6199	2741
208	6224	2710
209	6250	2678
210	6278	2648
211	6304	2616
212	6331	2586
213	6356	2554
214	6381	2522
215	6408	2492
216	6434	2461
217	6460	2430
218	6486	2399
219	6511	2367
220	6536	2336
221	6561	2305
222	6586	2274
223	6614	2244
224	6643	2214
225	6670	2184
226	6698	2154
227	6725	2123
228	6751	2093
229	6777	2062
230	6809	2033
231	6834	2003
232	6858	1972
233	6884	1941
234	6908	1910
235	6932	1880
236	6957	1849
237	6983	1819
238	7009	1789
239	7036	1759
240	7064	1729
241	7091	1699
242	7118	1669
243	7145	1639
244	7169	1609
245	7198	1580
246	7225	1550
247	7252	1520
248	7278	1490
249	7303	1460
250	7327	1430
251	7352	1400
252	7377	1370
253	7402	1340
254	7428	1310
255	7455	1281
256	7483	1252
257	7510	1222
258	7536	1192
259	7567	1164
260	7594	1134
261	7626	1106
262	7653	1076
263	7682	1047
264	7709	1018
265	7735	988
266	7760	959
267	7784	929
268	7808	899
269	7832	870
270	7856	840
271	7881	811
272	7907	782
273	7933	752
274	7958	723
275	7987	694
276	8014	665
277	8044	636
278	8074	607
279	8101	578
280	8128	549
281	8155	520
282	8180	491
283	8210	462
284	8238	433
285	8265	404
286	8290	375
287	8317	346
288	8342	317
289	8370	288
290	8397	259
291	8426	230
292	8452	201
293	8478	173
294	8503	144
295	8528	115
296	8554	86
297	8580	57
298	8607	28
299	8635	0
