iter	RMSE
0	802.5955432
1	783.0413214
2	770.2861619
3	755.5380947
4	740.847439
5	727.8623983
6	712.8722104
7	699.9437199
8	688.587543
9	677.7198847
10	669.5983188
11	659.2700671
12	650.4190561
13	640.7379047
14	632.7039111
15	622.5375043
16	612.6066138
17	602.5217351
18	595.560003
19	588.0330864
20	581.5303504
21	573.5099202
22	567.5948794
23	562.1297538
24	556.3758768
25	552.6911307
26	548.8833702
27	543.6374276
28	540.7401023
29	537.6076283
30	532.3164956
31	526.8645041
32	522.0314334
33	518.9643195
34	514.2298543
35	509.912898
36	508.3889377
37	503.6468879
38	499.6626295
39	495.96677
40	492.7446637
41	489.4146772
42	486.226727
43	482.9815808
44	480.2092343
45	478.3483111
46	477.426805
47	475.7291416
48	473.7531913
49	472.4802013
50	470.4909704
51	469.6525112
52	468.3991799
53	465.4683197
54	463.6068854
55	462.0590835
56	461.0884274
57	459.9413265
58	458.3549753
59	456.0703199
60	454.7422762
61	452.9166792
62	451.9696775
63	450.0681906
64	448.7618113
65	448.3315778
66	446.2848889
67	444.6586024
68	442.736138
69	442.1538066
70	439.8248264
71	439.1517014
72	438.6662404
73	437.6215028
74	436.0926236
75	434.4055783
76	433.6252485
77	432.7883743
78	432.5153874
79	430.5397741
80	428.9082845
81	428.105452
82	427.3126994
83	426.847256
84	425.6272488
85	425.0880336
86	424.1266715
87	422.5024793
88	421.0480508
89	420.2333328
90	419.0890743
91	418.587113
92	417.466844
93	416.5289867
94	415.818838
95	414.9765026
96	413.9675847
97	412.9886191
98	412.3695865
99	411.6078009
100	410.3504505
101	410.0894124
102	408.9082034
103	408.4278002
104	408.0541795
105	407.0071519
106	406.4591322
107	406.157761
108	405.4675707
109	404.3274893
110	403.6333625
111	402.9578638
112	401.7733846
113	401.3490317
114	400.4945972
115	400.0802812
116	399.5423303
117	399.1078517
118	398.2851589
119	397.7581035
120	397.5560812
121	396.9382571
122	396.6806216
123	395.458624
124	394.7764318
125	394.2610865
126	393.5271537
127	392.9475325
128	392.4738538
129	391.9803921
130	391.3142681
131	390.3519861
132	389.8572216
133	389.460667
134	388.8920197
135	388.5727647
136	388.1218905
137	387.8552042
138	386.4202593
139	384.7996161
140	384.2837409
141	383.6445728
142	382.6130384
143	382.4543309
144	382.0167452
145	381.4233905
146	380.7979862
147	380.1134183
148	379.5105537
149	378.7710053
150	378.3265907
151	377.2405598
152	375.9813543
153	375.5740683
154	374.3790293
155	373.4460597
156	372.872085
157	372.1541412
158	371.6986929
159	371.0084516
160	370.3630068
161	369.5764708
162	369.2153021
163	368.5670955
164	368.0773645
165	367.422884
166	367.1632175
167	366.6781403
168	366.1345196
169	365.5140691
170	365.0383665
171	364.2564504
172	363.4619334
173	362.8591202
174	362.4637581
175	362.2607782
176	361.554907
177	360.5582692
178	360.237714
179	359.887151
180	359.3743338
181	359.0243596
182	358.2834488
183	357.7952818
184	357.1805083
185	356.3597312
186	355.9137442
187	355.4114088
188	354.9077463
189	354.3227641
190	353.7611604
191	353.4232156
192	352.8826768
193	352.4152095
194	351.8572226
195	351.5134711
196	350.8753024
197	350.5492676
198	349.9902775
199	349.4751178
200	349.3041939
201	348.7456602
202	348.3267801
203	348.0323405
204	347.6826477
205	347.2898725
206	346.959504
207	346.2990476
208	345.7477012
209	345.3551987
210	345.0996272
211	344.7869757
212	344.412304
213	343.8485197
214	343.3582399
215	343.0792421
216	342.7649551
217	342.2107468
218	341.977812
219	341.455292
220	341.0754464
221	340.8255571
222	340.1640803
223	339.7736787
224	339.3483566
225	339.0122079
226	338.7615614
227	338.2684258
228	338.0636548
229	337.7500572
230	337.5060883
231	337.1072075
232	336.9279724
233	336.5476501
234	336.2273234
235	335.7751944
236	335.3310114
237	335.039247
238	334.2273966
239	333.7773217
240	333.4193973
241	332.7498133
242	332.5130962
243	332.2144356
244	331.947162
245	331.2578653
246	331.106293
247	330.9143433
248	329.9750215
249	329.6124264
250	329.0343227
251	328.6144808
252	328.350996
253	327.9124496
254	327.6002121
255	327.1169948
256	326.7365966
257	325.9058316
258	325.4423457
259	325.0759047
260	324.8410575
261	324.4201987
262	324.1265699
263	323.6938766
264	323.4829761
265	323.1806037
266	322.5896368
267	322.3306905
268	322.042104
269	321.7087873
270	321.3051456
271	320.9314555
272	320.7064756
273	320.3786419
274	320.1354221
275	319.8682247
276	319.5489803
277	319.344422
278	319.1306615
279	318.5906881
280	318.1601675
281	317.7583362
282	317.5367201
283	317.2812485
284	317.1094185
285	316.8717441
286	316.5115735
287	315.9972826
288	315.648984
289	315.2777165
290	315.0804528
291	314.5103542
292	314.2855708
293	313.8711521
294	313.6552625
295	313.2008207
296	312.9824323
297	312.5132491
298	312.3044592
299	311.9182956
