iter	Passed	Remaining
0	182	54480
1	223	33263
2	260	25810
3	298	22059
4	336	19847
5	376	18431
6	417	17457
7	474	17320
8	514	16648
9	558	16195
10	584	15360
11	635	15253
12	673	14861
13	714	14601
14	754	14341
15	791	14050
16	835	13909
17	875	13722
18	914	13520
19	954	13359
20	996	13239
21	1037	13114
22	1076	12969
23	1116	12845
24	1157	12730
25	1194	12590
26	1236	12497
27	1276	12395
28	1304	12194
29	1336	12026
30	1372	11908
31	1413	11839
32	1452	11753
33	1498	11723
34	1545	11701
35	1590	11662
36	1610	11449
37	1650	11377
38	1684	11272
39	1725	11218
40	1758	11110
41	1797	11039
42	1836	10974
43	1877	10924
44	1912	10834
45	1948	10756
46	1967	10592
47	2007	10537
48	2044	10472
49	2083	10416
50	2121	10359
51	2149	10250
52	2185	10184
53	2221	10120
54	2255	10046
55	2290	9982
56	2325	9913
57	2360	9848
58	2394	9781
59	2431	9725
60	2471	9683
61	2508	9630
62	2545	9576
63	2582	9523
64	2621	9476
65	2641	9366
66	2679	9317
67	2719	9278
68	2755	9225
69	2793	9178
70	2830	9129
71	2864	9072
72	2909	9046
73	2951	9013
74	2990	8971
75	3028	8925
76	3062	8869
77	3099	8821
78	3117	8721
79	3154	8675
80	3189	8622
81	3226	8577
82	3265	8536
83	3296	8476
84	3332	8428
85	3366	8376
86	3405	8337
87	3441	8289
88	3475	8239
89	3510	8191
90	3546	8145
91	3584	8103
92	3624	8068
93	3665	8033
94	3703	7990
95	3738	7943
96	3773	7897
97	3811	7856
98	3848	7814
99	3886	7773
100	3923	7731
101	3960	7688
102	3999	7649
103	4038	7611
104	4070	7559
105	4104	7512
106	4139	7467
107	4178	7427
108	4211	7379
109	4248	7338
110	4284	7295
111	4319	7250
112	4359	7213
113	4395	7171
114	4431	7128
115	4466	7084
116	4502	7041
117	4538	7000
118	4577	6962
119	4613	6920
120	4639	6863
121	4675	6821
122	4715	6785
123	4752	6745
124	4790	6707
125	4826	6664
126	4861	6622
127	4899	6583
128	4936	6544
129	4971	6501
130	5007	6460
131	5044	6419
132	5080	6379
133	5117	6339
134	5152	6297
135	5188	6256
136	5224	6215
137	5258	6172
138	5292	6130
139	5326	6087
140	5362	6047
141	5397	6005
142	5434	5966
143	5472	5928
144	5510	5890
145	5547	5850
146	5584	5812
147	5621	5773
148	5658	5734
149	5696	5696
150	5732	5656
151	5778	5626
152	5817	5588
153	5857	5552
154	5894	5514
155	5932	5476
156	5967	5435
157	6004	5396
158	6043	5359
159	6082	5321
160	6119	5283
161	6156	5244
162	6197	5208
163	6233	5169
164	6274	5133
165	6310	5094
166	6348	5055
167	6383	5015
168	6420	4977
169	6462	4941
170	6498	4902
171	6536	4864
172	6572	4825
173	6612	4788
174	6648	4748
175	6686	4710
176	6723	4672
177	6760	4633
178	6797	4595
179	6833	4555
180	6868	4516
181	6910	4480
182	6945	4440
183	6981	4401
184	7020	4364
185	7055	4324
186	7092	4285
187	7128	4246
188	7164	4207
189	7202	4169
190	7237	4130
191	7272	4090
192	7308	4052
193	7347	4014
194	7383	3975
195	7418	3936
196	7455	3897
197	7496	3861
198	7535	3824
199	7574	3787
200	7610	3748
201	7646	3709
202	7682	3671
203	7720	3633
204	7769	3600
205	7804	3561
206	7839	3521
207	7877	3484
208	7917	3447
209	7954	3409
210	7993	3371
211	8028	3332
212	8065	3294
213	8102	3256
214	8135	3216
215	8167	3176
216	8202	3137
217	8238	3098
218	8272	3059
219	8307	3020
220	8339	2981
221	8375	2942
222	8410	2904
223	8444	2865
224	8478	2826
225	8511	2787
226	8547	2748
227	8581	2710
228	8616	2671
229	8650	2632
230	8685	2594
231	8719	2555
232	8754	2517
233	8791	2479
234	8825	2441
235	8860	2402
236	8894	2364
237	8928	2325
238	8963	2287
239	9014	2253
240	9050	2215
241	9085	2177
242	9120	2139
243	9153	2100
244	9187	2062
245	9223	2024
246	9257	1986
247	9291	1948
248	9325	1910
249	9361	1872
250	9395	1834
251	9429	1796
252	9465	1758
253	9499	1720
254	9533	1682
255	9567	1644
256	9601	1606
257	9636	1568
258	9670	1530
259	9706	1493
260	9739	1455
261	9774	1417
262	9809	1380
263	9843	1342
264	9878	1304
265	9913	1267
266	9948	1229
267	9981	1191
268	10015	1154
269	10052	1116
270	10093	1080
271	10127	1042
272	10160	1004
273	10194	967
274	10230	930
275	10266	892
276	10299	855
277	10334	817
278	10369	780
279	10404	743
280	10440	705
281	10476	668
282	10511	631
283	10544	594
284	10576	556
285	10614	519
286	10649	482
287	10684	445
288	10719	408
289	10753	370
290	10786	333
291	10822	296
292	10857	259
293	10891	222
294	10925	185
295	10962	148
296	10995	111
297	11029	74
298	11063	37
299	11098	0
